domain,runs,success_rate,avg_steps,avg_screenshot_mb,avg_response_tokens,avg_runtime_log_kb
chrome,46,0.5,21.7,13.321,0.0,34.19
gimp,26,0.385,17.69,12.387,0.0,28.47
libreoffice_calc,47,0.319,30.4,6.21,0.0,42.26
libreoffice_impress,47,0.34,19.85,6.351,0.0,29.54
libreoffice_writer,23,0.391,23.78,4.816,0.0,36.59
multi_apps,93,0.161,37.46,16.087,0.0,56.1
os,24,0.5,14.04,16.104,0.0,22.47
thunderbird,15,0.533,21.47,7.216,0.0,33.78
vlc,17,0.235,22.12,27.764,0.0,34.49
vs_code,23,0.565,26.13,5.95,0.0,39.47
