model,zip_path,size_bytes,status,started_at,finished_at,duration_sec,download_sec,parse_sec,error
autoglm_15steps,autoglm_15steps.zip,1228969699,skipped_done,2026-06-24 10:59:58,2026-06-24 10:59:58,0.0,,,
autoglm_50steps,autoglm_50steps.zip,2418352482,done,2026-06-24 10:59:58,2026-06-24 11:04:26,268.6,266.4,1.7,
mobile-agent-v3-gui-owl-7b,mobile-agent-v3-gui-owl-7b.zip,2457942411,done,2026-06-26 11:19:14,2026-06-26 11:23:33,258.7,256.8,1.2,
kimi-vl-a3b-15step,kimi-vl-a3b-15step.zip,2604882947,done,2026-06-24 11:09:26,2026-06-24 11:13:21,234.8,232.3,1.9,
opencua_agent-opencua_a3b-cot_l2-action_history-3image-Ubuntu-15step,opencua_agent-opencua_a3b-cot_l2-action_history-3image-Ubuntu-15step.zip,2607142240,done,2026-06-24 11:13:21,2026-06-24 11:18:42,321.5,318.9,1.9,
jedi-7b-4o-15steps,jedi-7b-4o-15steps.zip,2855742005,done,2026-06-26 11:09:26,2026-06-26 11:14:04,278.0,276.3,1.1,
doubao-1-5-thinking-vision-pro-250428-15step,doubao-1-5-thinking-vision-pro-250428-15step.zip,2909737412,done,2026-06-26 11:03:49,2026-06-26 11:09:26,336.3,334.4,1.2,
jedi-7b-o3-15steps,jedi-7b-o3-15steps.zip,3100823176,done,2026-06-26 11:14:04,2026-06-26 11:19:14,310.3,308.6,1.1,
UI-TARS-0717-15step,UI-TARS-0717-15step.zip,3136279230,done,2026-06-26 10:40:30,2026-06-26 10:46:03,332.8,331.0,1.2,
claude-sonnet-4-5-20250929_15steps,claude-sonnet-4-5-20250929_15steps.zip,3383987201,done,2026-06-26 10:58:31,2026-06-26 11:03:49,318.4,316.1,1.5,
o3_15steps,o3_15steps.zip,3408011289,done,2026-06-26 11:23:33,2026-06-26 11:30:02,389.1,387.1,1.3,
claude-4-sonnet-20250514-15steps,claude-4-sonnet-20250514-15steps.zip,3559826868,done,2026-06-26 10:52:35,2026-06-26 10:58:31,356.1,354.0,1.2,
claude-3-7-sonnet-20250219-15steps,claude-3-7-sonnet-20250219-15steps.zip,3669586341,done,2026-06-26 10:46:03,2026-06-26 10:52:35,392.0,390.0,1.2,
opencua_agent-opencua_a3b-cot_l2-action_history-3image-Ubuntu-50step,opencua_agent-opencua_a3b-cot_l2-action_history-3image-Ubuntu-50step.zip,3800320372,done,2026-06-24 12:01:44,2026-06-24 12:06:40,296.7,291.3,4.7,
coact1-150-100-50-15steps,coact1-150-100-50-15steps.zip,4477987617,done,2026-06-24 18:02:44,2026-06-24 18:07:25,281.1,280.1,0.0,
opencua_agent-opencua_a3b-cot_l2-action_history-3image-Ubuntu-100step,opencua_agent-opencua_a3b-cot_l2-action_history-3image-Ubuntu-100step.zip,4592091921,done,2026-06-24 12:10:28,2026-06-24 12:14:34,246.0,241.9,3.1,
o3_gta1_50steps,o3_gta1_50steps.zip,4757131964,done,2026-06-24 12:14:34,2026-06-24 12:21:03,388.5,385.7,1.8,
