context_tokens,gpu_model,deployment,model,tp_size,dp_size,ep_size,parallelism,target_fraction,sweet_total_concurrency,sweet_batch_per_dp_group,peak_throughput_tokens_per_s,sweet_throughput_tokens_per_s,sweet_normalized_throughput,dominant_time_at_sweet
8192,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,4896,68,178813.9343261719,162270.1643304416,0.9074805324424379,weight
8192,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,5184,72,178813.9343261719,171350.28988746763,0.9582602750348865,weight
16384,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,2160,30,89406.96716308595,81974.24546351882,0.9168664150523167,weight
16384,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,2304,32,89406.96716308595,85790.3280338705,0.9595485760900669,weight
32768,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,504,7,44703.48358154297,41724.96578507272,0.9333716847583662,weight
32768,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,576,8,44703.48358154297,43529.51858217472,0.9737388475055454,weight
65536,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,22351.741790771484,21474.449032447224,0.9607505863956216,weight
65536,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,22351.741790771484,21474.449032447224,0.9607505863956216,weight
131072,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,11175.870895385742,11175.870895385742,1.0,kv
131072,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,11175.870895385742,11175.870895385742,1.0,kv
262144,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,5587.935447692871,5587.935447692871,1.0,kv
262144,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,5587.935447692871,5587.935447692871,1.0,kv
524288,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,2793.9677238464355,2793.9677238464355,1.0,kv
524288,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,2793.9677238464355,2793.9677238464355,1.0,kv
8192,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,2448,68,178659.15357929736,161948.11350945893,0.9064641260464649,weight
8192,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,2592,72,178659.15357929736,171011.13701823083,0.9571921370506663,weight
16384,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,1080,30,89329.57678964868,81788.00906543263,0.9155759156681693,weight
16384,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,1152,32,89329.57678964868,85599.0891292923,0.9582390536883338,weight
32768,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,252,7,44664.78839482434,41518.73154067105,0.9295629293853802,weight
32768,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,288,8,44664.78839482434,43333.0325358216,0.9701833165035869,weight
65536,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,22331.93394865605,21096.911899670962,0.9446970400403046,weight
65536,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,72,2,22331.93394865605,22145.4957892259,0.9916514996032679,kv
131072,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,11165.472239033288,11072.74789461295,0.9916954390790401,kv
131072,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,11165.472239033288,11072.74789461295,0.9916954390790401,kv
262144,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,5582.736119516644,5562.035202966229,0.9962919765313558,kv
262144,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,5582.736119516644,5562.035202966229,0.9962919765313558,kv
524288,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,2790.718899458346,2787.477621757989,0.9988385509909341,kv
524288,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,2790.718899458346,2787.477621757989,0.9988385509909341,kv
1048576,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,1395.359449729173,1395.359449729173,1.0,kv
1048576,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,1395.359449729173,1395.359449729173,1.0,kv
8192,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,1224,68,178509.06414400882,160989.58558007062,0.9018566443785471,weight
8192,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,1296,72,178509.06414400882,170001.68626603048,0.9523420397794748,weight
16384,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,540,30,89254.09478910165,81234.34280164221,0.9101469573310972,weight
16384,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,576,32,89254.09478910165,85030.45401895847,0.9526784650035024,weight
32768,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,126,7,44627.04739455083,40912.08233944911,0.9167553026249428,weight
32768,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,144,8,44627.04739455083,42754.07512074466,0.9580305580773227,weight
65536,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,36,2,22313.080069510208,21548.979739132075,0.9657554973137823,kv
65536,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,36,2,22313.080069510208,21548.979739132075,0.9657554973137823,kv
131072,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,11156.08059119753,10774.489869566038,0.965795270255346,kv
131072,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,11156.08059119753,10774.489869566038,0.965795270255346,kv
262144,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,5577.546457838568,5485.75529283225,0.9835427341215031,kv
262144,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,5577.546457838568,5485.75529283225,0.9835427341215031,kv
524288,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,2788.773228919284,2768.1869736532376,0.9926181680702578,kv
524288,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,2788.773228919284,2768.1869736532376,0.9926181680702578,kv
1048576,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,1393.7388108789944,1390.5088007415573,0.9976824853320975,kv
1048576,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,1393.7388108789944,1390.5088007415573,0.9976824853320975,kv
8192,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,621,69,178360.26007536796,160701.78017888128,0.9009954353675819,weight
8192,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,657,73,178360.26007536796,169596.55140041205,0.9508651272920733,weight
16384,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,279,31,89179.80772886302,81665.13421730271,0.9157357062889452,weight
16384,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,297,33,89179.80772886302,85449.46679883717,0.9581705654561696,weight
32768,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,72,8,44589.580177806594,41283.220205822996,0.9258490445794944,weight
32768,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,81,9,44589.580177806594,42588.10930902629,0.9551134847917565,kv
65536,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,18,2,22294.46361902709,20104.849740105947,0.9017866535684479,kv
65536,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,45,5,22294.46361902709,21395.29746195859,0.9596686346694113,kv
131072,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,11146.899660156503,10052.424870052973,0.9018135245250639,kv
131072,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,27,3,11146.899660156503,10774.489869566038,0.966590729086617,kv
262144,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,5573.105849725525,5292.210160185464,0.9495979984744242,kv
262144,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,18,2,5573.105849725525,5436.053857464407,0.9754083277876612,kv
524288,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,2786.183217863004,2718.0269287322035,0.9755377576414103,kv
524288,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,9,1,2786.183217863004,2718.0269287322035,0.9755377576414103,kv
1048576,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,1393.091608931502,1377.7370970181448,0.9889781032238547,kv
1048576,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,9,1,1393.091608931502,1377.7370970181448,0.9889781032238547,kv
8192,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.9,426,71,178273.34507442417,162152.584925931,0.9095727959681061,weight
8192,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.95,450,75,178273.34507442417,170922.02518339598,0.9587637743154523,weight
16384,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.9,192,32,89136.41735094195,81856.66617723634,0.9183302247268448,weight
