context_tokens,gpu_model,deployment,model,tp_size,dp_size,ep_size,parallelism,target_fraction,sweet_total_concurrency,sweet_batch_per_dp_group,peak_throughput_tokens_per_s,sweet_throughput_tokens_per_s,sweet_normalized_throughput,dominant_time_at_sweet
8192,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,4896,68,178813.9343261719,162270.1643304416,0.9074805324424379,weight
8192,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,5184,72,178813.9343261719,171350.28988746763,0.9582602750348865,weight
16384,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,2160,30,89406.96716308595,81974.24546351882,0.9168664150523167,weight
16384,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,2304,32,89406.96716308595,85790.3280338705,0.9595485760900669,weight
32768,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,504,7,44703.483581542976,41724.96578507272,0.9333716847583661,weight
32768,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,576,8,44703.483581542976,43529.51858217472,0.9737388475055453,weight
65536,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,22351.741790771488,21474.449032447224,0.9607505863956214,weight
65536,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,22351.741790771488,21474.449032447224,0.9607505863956214,weight
131072,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,11175.870895385744,11175.870895385742,0.9999999999999999,kv
131072,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,11175.870895385744,11175.870895385742,0.9999999999999999,kv
262144,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,5587.935447692872,5587.935447692871,0.9999999999999999,kv
262144,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,5587.935447692872,5587.935447692871,0.9999999999999999,kv
524288,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,2793.967723846436,2793.9677238464355,0.9999999999999999,kv
524288,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,2793.967723846436,2793.9677238464355,0.9999999999999999,kv
1048576,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.9,72,1,1396.983861923218,1396.9838619232178,0.9999999999999999,kv
1048576,A100,A100x72,Qwen3-30B-A3B,1,72,72,TP1/DP72/EP72,0.95,72,1,1396.983861923218,1396.9838619232178,0.9999999999999999,kv
8192,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,2448,68,178807.42934978663,161948.11350945893,0.9057124421416116,weight
8192,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,2592,72,178807.42934978663,171011.13701823083,0.9563983870250462,weight
16384,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,1080,30,89405.34088940895,81788.00906543263,0.9148000360135232,weight
16384,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,1152,32,89405.34088940895,85599.0891292923,0.9574270203295255,weight
32768,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,252,7,44703.07700942604,41518.73154067105,0.9287667498126909,weight
32768,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,288,8,44703.07700942604,43333.0325358216,0.9693523451793811,weight
65536,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,22351.640147280035,21096.911899670962,0.9438641531743808,weight
65536,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,72,2,22351.640147280035,22145.4957892259,0.9907772156004748,kv
131072,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,11175.845484455102,11072.74789461295,0.9907749628441487,kv
131072,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,11175.845484455102,11072.74789461295,0.9907749628441487,kv
262144,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,5587.929094952989,5562.035202966229,0.9953661022631538,kv
262144,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,5587.929094952989,5562.035202966229,0.9953661022631538,kv
524288,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,2793.966135660562,2787.477621757989,0.9976776690956424,kv
524288,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,2793.966135660562,2787.477621757989,0.9976776690956424,kv
1048576,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.9,36,1,1396.9834648766366,1395.359449729173,0.9988374843451658,kv
1048576,A100,A100x72,Qwen3-30B-A3B,2,36,72,TP2/DP36/EP72,0.95,36,1,1396.9834648766366,1395.359449729173,0.9988374843451658,kv
8192,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,1224,68,178787.91726001364,160989.58558007062,0.90045003066925,weight
8192,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,1296,72,178787.91726001364,170001.68626603048,0.9508566846762624,weight
16384,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,540,30,89400.46242333313,81234.34280164221,0.9086568525448746,weight
16384,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,576,32,89400.46242333313,85030.45401895847,0.9511187270633836,weight
32768,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,126,7,44701.85733744666,40912.08233944911,0.915221084229472,weight
32768,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,144,8,44701.85733744666,42754.07512074466,0.9564272642633499,weight
65536,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,36,2,22351.335222352238,21548.979739132075,0.9641025703727187,kv
65536,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,36,2,22351.335222352238,21548.979739132075,0.9641025703727187,kv
131072,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,11175.76925235651,10774.489869566038,0.9640938020704161,kv
131072,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,11175.76925235651,10774.489869566038,0.9640938020704161,kv
262144,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,5587.910036820009,5485.75529283225,0.9817186133429784,kv
262144,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,5587.910036820009,5485.75529283225,0.9817186133429784,kv
524288,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,2793.9613711137754,2768.1869736532376,0.9907749628441487,kv
524288,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,2793.9613711137754,2768.1869736532376,0.9907749628441487,kv
1048576,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.9,18,1,1396.9822737382472,1390.5088007415573,0.9953661022631538,kv
1048576,A100,A100x72,Qwen3-30B-A3B,4,18,72,TP4/DP18/EP72,0.95,18,1,1396.9822737382472,1390.5088007415573,0.9953661022631538,kv
8192,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,630,70,178735.90583367314,162919.6249109087,0.9115103322469372,weight
8192,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,666,74,178735.90583367314,171829.4464232826,0.9613594180857119,weight
16384,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,279,31,89387.45578290046,81665.13421730271,0.9136084420575374,weight
16384,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,297,33,89387.45578290046,85449.46679883717,0.9559447245749149,weight
32768,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,72,8,44698.605204189786,41283.220205822996,0.9235907925367065,weight
32768,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,81,9,44698.605204189786,42588.10930902629,0.9527838534217691,kv
65536,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,27,3,22350.522129883946,20801.880889428518,0.9307111828772534,kv
65536,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,45,5,22350.522129883946,21395.29746195859,0.957261639689027,kv
131072,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,18,2,11175.56597184452,10584.420320370928,0.9471037392680681,kv
131072,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,27,3,11175.56597184452,10774.489869566038,0.9641113386750214,kv
262144,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,5587.859215767606,5292.210160185464,0.9470908188331069,kv
262144,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,18,2,5587.859215767606,5436.053857464407,0.9728330023285411,kv
524288,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,2793.9486657351217,2718.0269287322035,0.9728263665206095,kv
524288,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,9,1,2793.9486657351217,2718.0269287322035,0.9728263665206095,kv
1048576,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.9,9,1,1396.9790973791394,1377.7370970181448,0.986225992645778,kv
1048576,A100,A100x72,Qwen3-30B-A3B,8,9,72,TP8/DP9/EP72,0.95,9,1,1396.9790973791394,1377.7370970181448,0.986225992645778,kv
8192,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.9,426,71,178674.1180666028,162152.584925931,0.9075325888301673,weight
