model,tp_size,gpu,min_threshold_tokens,max_threshold_tokens
DeepSeek-V4-Flash-284B,1,A100/A800,1.0,1.0
DeepSeek-V4-Flash-284B,1,A30,1.0,1.0
DeepSeek-V4-Flash-284B,1,B200,1.0,1.0
DeepSeek-V4-Flash-284B,1,H100/H800,1.0,1.0
DeepSeek-V4-Flash-284B,1,H200,1.0,1.0
DeepSeek-V4-Flash-284B,1,L4,1.0,1.0
DeepSeek-V4-Flash-284B,1,L40S,1.0,1.0
DeepSeek-V4-Flash-284B,1,T4,1.0,1.0
DeepSeek-V4-Flash-284B,2,A100/A800,1.0,1.0
DeepSeek-V4-Flash-284B,2,A30,1.0,1.0
DeepSeek-V4-Flash-284B,2,B200,1.0,1.0
DeepSeek-V4-Flash-284B,2,H100/H800,1.0,1.0
DeepSeek-V4-Flash-284B,2,H200,1.0,1.0
DeepSeek-V4-Flash-284B,2,L4,1.0,1.0
DeepSeek-V4-Flash-284B,2,L40S,1.0,1.0
DeepSeek-V4-Flash-284B,2,T4,1.0,1.0
DeepSeek-V4-Flash-284B,4,A100/A800,1.0,1.0
DeepSeek-V4-Flash-284B,4,A30,1.0,1.0
DeepSeek-V4-Flash-284B,4,B200,1.0,1.0
DeepSeek-V4-Flash-284B,4,H100/H800,1.0,1.0
DeepSeek-V4-Flash-284B,4,H200,1.0,1.0
DeepSeek-V4-Flash-284B,4,L4,1.0,1.0
DeepSeek-V4-Flash-284B,4,L40S,1.0,1.0
DeepSeek-V4-Flash-284B,4,T4,1.0,1.0
DeepSeek-V4-Flash-284B,8,A100/A800,1.0,1.0
DeepSeek-V4-Flash-284B,8,A30,1.0,1.0
DeepSeek-V4-Flash-284B,8,B200,1.0,1.0
DeepSeek-V4-Flash-284B,8,H100/H800,1.0,1.0
DeepSeek-V4-Flash-284B,8,H200,1.0,1.0
DeepSeek-V4-Flash-284B,8,L4,1.0,1.0
DeepSeek-V4-Flash-284B,8,L40S,1.0,1.0
DeepSeek-V4-Flash-284B,8,T4,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,A100/A800,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,A30,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,B200,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,H100/H800,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,H200,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,L4,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,L40S,1.0,1.0
DeepSeek-V4-Pro-1.6T,1,T4,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,A100/A800,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,A30,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,B200,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,H100/H800,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,H200,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,L4,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,L40S,1.0,1.0
DeepSeek-V4-Pro-1.6T,2,T4,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,A100/A800,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,A30,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,B200,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,H100/H800,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,H200,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,L4,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,L40S,1.0,1.0
DeepSeek-V4-Pro-1.6T,4,T4,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,A100/A800,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,A30,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,B200,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,H100/H800,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,H200,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,L4,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,L40S,1.0,1.0
DeepSeek-V4-Pro-1.6T,8,T4,1.0,1.0
