model,tp_size,gpu,compute_tflops,bandwidth_gb_s,context_threshold_tokens
Qwen3-Coder-480B-A35B,1,T4,65.0,50,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,100,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,150,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,200,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,250,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,300,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,350,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,400,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,450,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,500,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,550,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,600,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,650,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,700,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,750,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,800,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,850,1.0
Qwen3-Coder-480B-A35B,1,T4,65.0,900,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,50,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,100,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,150,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,200,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,250,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,300,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,350,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,400,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,450,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,500,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,550,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,600,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,650,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,700,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,750,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,800,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,850,1.0
Qwen3-Coder-480B-A35B,1,L4,121.0,900,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,50,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,100,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,150,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,200,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,250,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,300,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,350,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,400,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,450,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,500,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,550,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,600,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,650,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,700,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,750,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,800,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,850,1.0
Qwen3-Coder-480B-A35B,1,A30,165.0,900,1.0
Qwen3-Coder-480B-A35B,1,A100/A800,312.0,50,1.0
Qwen3-Coder-480B-A35B,1,A100/A800,312.0,100,1.0
Qwen3-Coder-480B-A35B,1,A100/A800,312.0,150,1.0
