tp_size,gpu,min_threshold_tokens,max_threshold_tokens
1,A100/A800,1.0,1.0
1,A30,1.0,1.0
1,B200,1.0,1.0
1,H100/H800,1.0,1.0
1,H200,1.0,1.0
1,L4,1.0,1.0
1,L40S,1.0,1.0
1,T4,1.0,1.0
2,A100/A800,1.0,1.0
2,A30,1.0,1.0
2,B200,1.0,1.0
2,H100/H800,1.0,1.0
2,H200,1.0,1.0
2,L4,1.0,1.0
2,L40S,1.0,1.0
2,T4,1.0,1.0
4,A100/A800,1.0,1.0
4,A30,1.0,1.0
4,B200,1.0,1.0
4,H100/H800,1.0,1.0
4,H200,1.0,1.0
4,L4,1.0,1.0
4,L40S,1.0,1.0
4,T4,1.0,1.0
8,A100/A800,1.0,1.0
8,A30,1.0,1.0
8,B200,1.0,1.0
8,H100/H800,1.0,1.0
8,H200,1.0,1.0
8,L4,1.0,1.0
8,L40S,1.0,1.0
8,T4,1.0,1.0
