model,params_b,active_params_b,kv_formula,kv_read_gb_bf16,weight_active_gb_bf16,weight_total_gb_bf16,kv_to_active_weight_ratio,kv_to_total_weight_ratio,crossover_active_context,crossover_total_context
Qwen3-30B-A3B,30.53191168,3.3,gqa,51.5396,6.6,61.0638,7.809,0.844,67138.6719,621173.3333
Qwen3-32B,32.8,,gqa,85.8993,65.6,65.6,1.3094,1.3094,400390.625,400390.625
Llama-3.3-70B,70.6,,gqa,171.7987,141.2,141.2,1.2167,1.2167,430908.2031,430908.2031
Qwen3-235B-A22B,235.092836352,22.0,gqa,100.9317,44.0,470.1857,2.2939,0.2147,228557.1809,2442370.7234
DeepSeek-V4-Flash-284B,284.0,35.0,shared_kv,23.0854,70.0,568.0,0.3298,0.0406,1589752.907,12899709.3023
GLM-4.5-355B-A32B,355.0,32.0,gqa,197.5685,64.0,710.0,3.087,0.2783,169836.9565,1884128.7364
Llama-3.1-405B,405.0,,gqa,270.5829,810.0,810.0,0.3341,0.3341,1569475.4464,1569475.4464
Qwen3-Coder-480B-A35B,480.15409152,35.0,gqa,133.144,70.0,960.3082,1.9021,0.1386,275642.6411,3781455.4839
DeepSeek-V3/R1-671B,671.025522688,37.0,mla,36.8428,74.0,1342.051,0.4979,0.0275,1053051.0018,19097948.6193
Kimi-K2-1T-A32B,1026.407327744,32.0,mla,36.8428,64.0,2052.8147,0.5757,0.0179,910746.8124,29212412.561
DeepSeek-V4-Pro-1.6T,1600.0,64.0,shared_kv,23.0854,128.0,3200.0,0.1804,0.0072,2906976.7442,72674418.6047
