model,params_b,active_params_b,dense_params_b_config,expert_params_b_config,active_or_total_params_b,is_moe,layers,kv_formula,kv_heads,head_dim,mla_kv_lora_rank,mla_qk_rope_head_dim,kv_bytes_per_token_bf16,kv_mb_per_1k_tokens_bf16,weight_total_gb_bf16,weight_active_gb_bf16,crossover_total_context,crossover_active_context,model_source
Qwen3-30B-A3B,30.53191168,3.3,1.540882432,28.991029248,3.3,True,48,gqa,4.0,128.0,,,98304,98.304,61.06382336,6.6,621173.3333333334,67138.671875,Qwen3-30B-A3B public Hugging Face config/model card
Qwen3-32B,32.8,,32.8,0.0,32.8,False,64,gqa,8.0,80.0,,,163840,163.84,65.6,65.6,400390.62499999994,400390.62499999994,Qwen3-32B public Hugging Face config/model card
Llama-3.3-70B,70.6,,70.6,0.0,70.6,False,80,gqa,8.0,128.0,,,327680,327.68,141.2,141.2,430908.203125,430908.203125,Meta Llama 3.3 70B public Hugging Face config/model card
Qwen3-235B-A22B,235.092836352,22.0,7.996440576,227.096395776,22.0,True,94,gqa,4.0,128.0,,,192512,192.512,470.185672704,44.0,2442370.723404255,228557.18085106384,Qwen3-235B-A22B public Hugging Face config/model card
DeepSeek-V4-Flash-284B,284.0,35.0,6.974609408,277.025390592,35.0,True,43,shared_kv,1.0,512.0,,,44032,44.032,568.0,70.0,12899709.302325582,1589752.9069767443,"DeepSeek-V4-Flash public config/model card, shared KV cache layout"
GLM-4.5-355B-A32B,355.0,32.0,7.7116288,347.2883712,32.0,True,92,gqa,8.0,128.0,,,376832,376.832,710.0,64.0,1884128.7364130435,169836.95652173914,Z.ai GLM-4.5 public Hugging Face config/model card
Llama-3.1-405B,405.0,,405.0,0.0,405.0,False,126,gqa,8.0,128.0,,,516096,516.096,810.0,810.0,1569475.4464285714,1569475.4464285714,Meta Llama 3.1 405B public Hugging Face config/model card
Qwen3-Coder-480B-A35B,480.15409152,35.0,12.06976512,468.0843264,35.0,True,62,gqa,8.0,128.0,,,253952,253.952,960.30818304,70.0,3781455.4838709678,275642.64112903224,Qwen3-Coder-480B-A35B public Hugging Face config/model card
DeepSeek-V3/R1-671B,671.025522688,37.0,17.116751872,653.908770816,37.0,True,61,mla,,,512.0,64.0,70272,70.272,1342.051045376,74.0,19097948.61930783,1053051.0018214937,"DeepSeek-V3/R1 public config, optimized MLA KV cache layout"
Kimi-K2-1T-A32B,1026.407327744,32.0,11.721304064,1014.68602368,32.0,True,61,mla,,,512.0,64.0,70272,70.272,2052.814655488,64.0,29212412.561020035,910746.8123861566,"Moonshot Kimi-K2 public config/model card, optimized MLA KV cache layout"
DeepSeek-V4-Pro-1.6T,1600.0,64.0,52.603813888,1547.396186112,64.0,True,43,shared_kv,1.0,512.0,,,44032,44.032,3200.0,128.0,72674418.60465117,2906976.7441860465,"DeepSeek-V4-Pro public config/model card, shared KV cache layout"
