model,context_len,params_b,active_params_b,is_moe,kv_formula,kv_read_gb_bf16,weight_total_gb_bf16,weight_active_gb_bf16,kv_to_total_weight_ratio,kv_to_active_weight_ratio,crossover_total_context,crossover_active_context
Qwen3-30B-A3B,4096,30.53191168,3.3,True,gqa,0.402653184,61.06382336,6.6,0.006593972696831802,0.06100805818181818,621173.3333333334,67138.671875
Qwen3-30B-A3B,8192,30.53191168,3.3,True,gqa,0.805306368,61.06382336,6.6,0.013187945393663605,0.12201611636363636,621173.3333333334,67138.671875
Qwen3-30B-A3B,16384,30.53191168,3.3,True,gqa,1.610612736,61.06382336,6.6,0.02637589078732721,0.24403223272727273,621173.3333333334,67138.671875
Qwen3-30B-A3B,32768,30.53191168,3.3,True,gqa,3.221225472,61.06382336,6.6,0.05275178157465442,0.48806446545454546,621173.3333333334,67138.671875
Qwen3-30B-A3B,65536,30.53191168,3.3,True,gqa,6.442450944,61.06382336,6.6,0.10550356314930884,0.9761289309090909,621173.3333333334,67138.671875
Qwen3-30B-A3B,131072,30.53191168,3.3,True,gqa,12.884901888,61.06382336,6.6,0.21100712629861768,1.9522578618181818,621173.3333333334,67138.671875
Qwen3-30B-A3B,262144,30.53191168,3.3,True,gqa,25.769803776,61.06382336,6.6,0.42201425259723535,3.9045157236363637,621173.3333333334,67138.671875
Qwen3-30B-A3B,524288,30.53191168,3.3,True,gqa,51.539607552,61.06382336,6.6,0.8440285051944707,7.809031447272727,621173.3333333334,67138.671875
Qwen3-30B-A3B,1048576,30.53191168,3.3,True,gqa,103.079215104,61.06382336,6.6,1.6880570103889414,15.618062894545455,621173.3333333334,67138.671875
Qwen3-32B,4096,32.8,,False,gqa,0.67108864,65.6,65.6,0.010230009756097561,0.010230009756097561,400390.62499999994,400390.62499999994
Qwen3-32B,8192,32.8,,False,gqa,1.34217728,65.6,65.6,0.020460019512195123,0.020460019512195123,400390.62499999994,400390.62499999994
Qwen3-32B,16384,32.8,,False,gqa,2.68435456,65.6,65.6,0.040920039024390245,0.040920039024390245,400390.62499999994,400390.62499999994
Qwen3-32B,32768,32.8,,False,gqa,5.36870912,65.6,65.6,0.08184007804878049,0.08184007804878049,400390.62499999994,400390.62499999994
Qwen3-32B,65536,32.8,,False,gqa,10.73741824,65.6,65.6,0.16368015609756098,0.16368015609756098,400390.62499999994,400390.62499999994
Qwen3-32B,131072,32.8,,False,gqa,21.47483648,65.6,65.6,0.32736031219512196,0.32736031219512196,400390.62499999994,400390.62499999994
Qwen3-32B,262144,32.8,,False,gqa,42.94967296,65.6,65.6,0.6547206243902439,0.6547206243902439,400390.62499999994,400390.62499999994
Qwen3-32B,524288,32.8,,False,gqa,85.89934592,65.6,65.6,1.3094412487804878,1.3094412487804878,400390.62499999994,400390.62499999994
Qwen3-32B,1048576,32.8,,False,gqa,171.79869184,65.6,65.6,2.6188824975609757,2.6188824975609757,400390.62499999994,400390.62499999994
Llama-3.3-70B,4096,70.6,,False,gqa,1.34217728,141.2,141.2,0.009505504815864024,0.009505504815864024,430908.203125,430908.203125
