model,context_len,kv_read_gb,kv_memory_time_ms,attention_flops,attention_compute_time_ms
Llama-2-7B,1024,0.5369,0.263301,536870912,0.017207
Llama-2-7B,2048,1.0737,0.526601,1073741824,0.034415
Llama-2-7B,4096,2.1475,1.053203,2147483648,0.06883
Llama-2-7B,8192,4.295,2.10641,4294967296,0.137659
Llama-2-7B,16384,8.5899,4.212815,8589934592,0.275318
Llama-2-7B,32768,17.1799,8.425635,17179869184,0.550637
Llama-2-7B,65536,34.3597,16.85127,34359738368,1.101274
Llama-2-7B,131072,68.7195,33.70254,68719476736,2.202547
Llama-2-13B,1024,0.8389,0.411408,838860800,0.026887
Llama-2-13B,2048,1.6777,0.822815,1677721600,0.053773
Llama-2-13B,4096,3.3554,1.64563,3355443200,0.107546
Llama-2-13B,8192,6.7109,3.291265,6710886400,0.215093
Llama-2-13B,16384,13.4218,6.582526,13421772800,0.430185
Llama-2-13B,32768,26.8436,13.165056,26843545600,0.86037
Llama-2-13B,65536,53.6871,26.330108,53687091200,1.72074
Llama-2-13B,131072,107.3742,52.660216,107374182400,3.44148
Llama-2-70B,1024,0.3355,0.164561,2684354560,0.086037
Llama-2-70B,2048,0.6711,0.329127,5368709120,0.172074
Llama-2-70B,4096,1.3422,0.658254,10737418240,0.344148
Llama-2-70B,8192,2.6843,1.316503,21474836480,0.688296
Llama-2-70B,16384,5.3687,2.633011,42949672960,1.376592
Llama-2-70B,32768,10.7374,5.266023,85899345920,2.753184
Llama-2-70B,65536,21.4748,10.532045,171798691840,5.506368
Llama-2-70B,131072,42.9497,21.064085,343597383680,11.012737
Mistral-7B-v0.1,1024,0.1342,0.065826,536870912,0.017207
Mistral-7B-v0.1,2048,0.2684,0.131653,1073741824,0.034415
Mistral-7B-v0.1,4096,0.5369,0.263301,2147483648,0.06883
Mistral-7B-v0.1,8192,1.0737,0.526601,4294967296,0.137659
Mistral-7B-v0.1,16384,2.1475,1.053203,8589934592,0.275318
Mistral-7B-v0.1,32768,4.295,2.10641,17179869184,0.550637
Mistral-7B-v0.1,65536,8.5899,4.212815,34359738368,1.101274
Mistral-7B-v0.1,131072,17.1799,8.425635,68719476736,2.202547
Llama-3.1-8B,1024,0.1342,0.065826,536870912,0.017207
Llama-3.1-8B,2048,0.2684,0.131653,1073741824,0.034415
Llama-3.1-8B,4096,0.5369,0.263301,2147483648,0.06883
Llama-3.1-8B,8192,1.0737,0.526601,4294967296,0.137659
Llama-3.1-8B,16384,2.1475,1.053203,8589934592,0.275318
Llama-3.1-8B,32768,4.295,2.10641,17179869184,0.550637
Llama-3.1-8B,65536,8.5899,4.212815,34359738368,1.101274
Llama-3.1-8B,131072,17.1799,8.425635,68719476736,2.202547
Qwen2.5-7B-Instruct,1024,0.0587,0.028798,411041792,0.013174
Qwen2.5-7B-Instruct,2048,0.1174,0.057597,822083584,0.026349
Qwen2.5-7B-Instruct,4096,0.2349,0.115194,1644167168,0.052698
Qwen2.5-7B-Instruct,8192,0.4698,0.230387,3288334336,0.105395
Qwen2.5-7B-Instruct,16384,0.9395,0.460775,6576668672,0.210791
Qwen2.5-7B-Instruct,32768,1.879,0.921555,13153337344,0.421581
Qwen2.5-7B-Instruct,65536,3.7581,1.843109,26306674688,0.843163
Qwen2.5-7B-Instruct,131072,7.5162,3.686214,52613349376,1.686325
Qwen2.5-32B-Instruct,1024,0.2684,0.131653,1342177280,0.043019
Qwen2.5-32B-Instruct,2048,0.5369,0.263301,2684354560,0.086037
Qwen2.5-32B-Instruct,4096,1.0737,0.526601,5368709120,0.172074
Qwen2.5-32B-Instruct,8192,2.1475,1.053203,10737418240,0.344148
Qwen2.5-32B-Instruct,16384,4.295,2.10641,21474836480,0.688296
Qwen2.5-32B-Instruct,32768,8.5899,4.212815,42949672960,1.376592
Qwen2.5-32B-Instruct,65536,17.1799,8.425635,85899345920,2.753184
Qwen2.5-32B-Instruct,131072,34.3597,16.85127,171798691840,5.506368
