model,batch,weight_dtype,kv_dtype,weight_gb_per_output_token,kv_bytes_per_token_no_context,crossover_context
Llama-2-7B,1,fp16,fp16_kv,13.480,524288,25711
Llama-2-7B,1,fp16,fp8_kv,13.480,262144,51422
Llama-2-7B,1,int4_weight_only,fp16_kv,3.370,524288,6428
Llama-2-7B,1,int4_weight_only,fp8_kv,3.370,262144,12856
Llama-2-7B,4,fp16,fp16_kv,3.370,524288,6428
Llama-2-7B,4,fp16,fp8_kv,3.370,262144,12856
Llama-2-7B,4,int4_weight_only,fp16_kv,0.843,524288,1607
Llama-2-7B,4,int4_weight_only,fp8_kv,0.843,262144,3214
Llama-2-7B,16,fp16,fp16_kv,0.843,524288,1607
Llama-2-7B,16,fp16,fp8_kv,0.843,262144,3214
Llama-2-7B,16,int4_weight_only,fp16_kv,0.211,524288,402
Llama-2-7B,16,int4_weight_only,fp8_kv,0.211,262144,803
Llama-2-70B,1,fp16,fp16_kv,140.000,327680,427246
Llama-2-70B,1,fp16,fp8_kv,140.000,163840,854492
Llama-2-70B,1,int4_weight_only,fp16_kv,35.000,327680,106812
Llama-2-70B,1,int4_weight_only,fp8_kv,35.000,163840,213623
Llama-2-70B,4,fp16,fp16_kv,35.000,327680,106812
Llama-2-70B,4,fp16,fp8_kv,35.000,163840,213623
Llama-2-70B,4,int4_weight_only,fp16_kv,8.750,327680,26703
Llama-2-70B,4,int4_weight_only,fp8_kv,8.750,163840,53406
Llama-2-70B,16,fp16,fp16_kv,8.750,327680,26703
Llama-2-70B,16,fp16,fp8_kv,8.750,163840,53406
Llama-2-70B,16,int4_weight_only,fp16_kv,2.188,327680,6676
Llama-2-70B,16,int4_weight_only,fp8_kv,2.188,163840,13351
Mistral-7B-v0.1,1,fp16,fp16_kv,14.480,131072,110474
Mistral-7B-v0.1,1,fp16,fp8_kv,14.480,65536,220947
Mistral-7B-v0.1,1,int4_weight_only,fp16_kv,3.620,131072,27618
Mistral-7B-v0.1,1,int4_weight_only,fp8_kv,3.620,65536,55237
Mistral-7B-v0.1,4,fp16,fp16_kv,3.620,131072,27618
Mistral-7B-v0.1,4,fp16,fp8_kv,3.620,65536,55237
Mistral-7B-v0.1,4,int4_weight_only,fp16_kv,0.905,131072,6905
Mistral-7B-v0.1,4,int4_weight_only,fp8_kv,0.905,65536,13809
Mistral-7B-v0.1,16,fp16,fp16_kv,0.905,131072,6905
Mistral-7B-v0.1,16,fp16,fp8_kv,0.905,65536,13809
Mistral-7B-v0.1,16,int4_weight_only,fp16_kv,0.226,131072,1726
Mistral-7B-v0.1,16,int4_weight_only,fp8_kv,0.226,65536,3452
Qwen2.5-7B-Instruct,1,fp16,fp16_kv,15.220,57344,265416
Qwen2.5-7B-Instruct,1,fp16,fp8_kv,15.220,28672,530831
Qwen2.5-7B-Instruct,1,int4_weight_only,fp16_kv,3.805,57344,66354
Qwen2.5-7B-Instruct,1,int4_weight_only,fp8_kv,3.805,28672,132708
Qwen2.5-7B-Instruct,4,fp16,fp16_kv,3.805,57344,66354
Qwen2.5-7B-Instruct,4,fp16,fp8_kv,3.805,28672,132708
Qwen2.5-7B-Instruct,4,int4_weight_only,fp16_kv,0.951,57344,16588
Qwen2.5-7B-Instruct,4,int4_weight_only,fp8_kv,0.951,28672,33177
Qwen2.5-7B-Instruct,16,fp16,fp16_kv,0.951,57344,16588
Qwen2.5-7B-Instruct,16,fp16,fp8_kv,0.951,28672,33177
Qwen2.5-7B-Instruct,16,int4_weight_only,fp16_kv,0.238,57344,4147
Qwen2.5-7B-Instruct,16,int4_weight_only,fp8_kv,0.238,28672,8294
