model,context_len,weight_read_gb_fp16_b1,kv_read_mb_fp16_b1,kv_to_weight_ratio,crossover_context_b1,attn_ai_flop_per_byte_fp16
Llama-2-7B,1024,13.48,536.87,0.0398,25711,1.00
Llama-2-7B,2048,13.48,1073.74,0.0797,25711,1.00
Llama-2-7B,4096,13.48,2147.48,0.1593,25711,1.00
Llama-2-7B,8192,13.48,4294.97,0.3186,25711,1.00
Llama-2-7B,16384,13.48,8589.93,0.6372,25711,1.00
Llama-2-7B,32768,13.48,17179.87,1.2745,25711,1.00
Llama-2-7B,65536,13.48,34359.74,2.5489,25711,1.00
Llama-2-7B,131072,13.48,68719.48,5.0979,25711,1.00
Llama-2-13B,1024,26.00,838.86,0.0323,31738,1.00
Llama-2-13B,2048,26.00,1677.72,0.0645,31738,1.00
Llama-2-13B,4096,26.00,3355.44,0.1291,31738,1.00
Llama-2-13B,8192,26.00,6710.89,0.2581,31738,1.00
Llama-2-13B,16384,26.00,13421.77,0.5162,31738,1.00
Llama-2-13B,32768,26.00,26843.55,1.0324,31738,1.00
Llama-2-13B,65536,26.00,53687.09,2.0649,31738,1.00
Llama-2-13B,131072,26.00,107374.18,4.1298,31738,1.00
Llama-2-70B,1024,140.00,335.54,0.0024,427246,8.00
Llama-2-70B,2048,140.00,671.09,0.0048,427246,8.00
Llama-2-70B,4096,140.00,1342.18,0.0096,427246,8.00
Llama-2-70B,8192,140.00,2684.35,0.0192,427246,8.00
Llama-2-70B,16384,140.00,5368.71,0.0383,427246,8.00
Llama-2-70B,32768,140.00,10737.42,0.0767,427246,8.00
Llama-2-70B,65536,140.00,21474.84,0.1534,427246,8.00
Llama-2-70B,131072,140.00,42949.67,0.3068,427246,8.00
Mistral-7B-v0.1,1024,14.48,134.22,0.0093,110474,4.00
Mistral-7B-v0.1,2048,14.48,268.44,0.0185,110474,4.00
Mistral-7B-v0.1,4096,14.48,536.87,0.0371,110474,4.00
Mistral-7B-v0.1,8192,14.48,1073.74,0.0742,110474,4.00
Mistral-7B-v0.1,16384,14.48,2147.48,0.1483,110474,4.00
Mistral-7B-v0.1,32768,14.48,4294.97,0.2966,110474,4.00
Mistral-7B-v0.1,65536,14.48,8589.93,0.5932,110474,4.00
Mistral-7B-v0.1,131072,14.48,17179.87,1.1865,110474,4.00
Llama-3.1-8B,1024,16.06,134.22,0.0084,122528,4.00
Llama-3.1-8B,2048,16.06,268.44,0.0167,122528,4.00
Llama-3.1-8B,4096,16.06,536.87,0.0334,122528,4.00
Llama-3.1-8B,8192,16.06,1073.74,0.0669,122528,4.00
Llama-3.1-8B,16384,16.06,2147.48,0.1337,122528,4.00
Llama-3.1-8B,32768,16.06,4294.97,0.2674,122528,4.00
Llama-3.1-8B,65536,16.06,8589.93,0.5349,122528,4.00
Llama-3.1-8B,131072,16.06,17179.87,1.0697,122528,4.00
Qwen2.5-7B-Instruct,1024,15.22,58.72,0.0039,265416,7.00
Qwen2.5-7B-Instruct,2048,15.22,117.44,0.0077,265416,7.00
Qwen2.5-7B-Instruct,4096,15.22,234.88,0.0154,265416,7.00
Qwen2.5-7B-Instruct,8192,15.22,469.76,0.0309,265416,7.00
Qwen2.5-7B-Instruct,16384,15.22,939.52,0.0617,265416,7.00
Qwen2.5-7B-Instruct,32768,15.22,1879.05,0.1235,265416,7.00
Qwen2.5-7B-Instruct,65536,15.22,3758.10,0.2469,265416,7.00
Qwen2.5-7B-Instruct,131072,15.22,7516.19,0.4938,265416,7.00
Qwen2.5-32B-Instruct,1024,65.00,268.44,0.0041,247955,5.00
Qwen2.5-32B-Instruct,2048,65.00,536.87,0.0083,247955,5.00
Qwen2.5-32B-Instruct,4096,65.00,1073.74,0.0165,247955,5.00
Qwen2.5-32B-Instruct,8192,65.00,2147.48,0.0330,247955,5.00
Qwen2.5-32B-Instruct,16384,65.00,4294.97,0.0661,247955,5.00
Qwen2.5-32B-Instruct,32768,65.00,8589.93,0.1322,247955,5.00
Qwen2.5-32B-Instruct,65536,65.00,17179.87,0.2643,247955,5.00
Qwen2.5-32B-Instruct,131072,65.00,34359.74,0.5286,247955,5.00
