deployment,gpu_model,gpus_per_node,hbm_gb_per_gpu,node_hbm_gb,usable_hbm_gb,node_source,tp_size,dp_size,ep_size,parallelism,kv_replication_factor,dense_params_b_est,expert_params_b_est,resident_weight_gb_bf16,weight_gb_per_gpu_after_tp_ep,residual_hbm_gb_for_kv,residual_hbm_gb_for_kv_per_gpu,kv_bytes_per_token_per_gpu_bf16,max_resident_kv_tokens,max_resident_kv_tokens_per_gpu,max_resident_kv_tokens_per_dp_replica,max_resident_kv_k_tokens,feasible_after_tp_dp_ep_weights,policy,model,params_b,active_params_b,num_experts,experts_per_token,dense_params_b_config,expert_params_b_config,weight_gb_bf16,layers,kv_formula,kv_heads,head_dim,mla_kv_lora_rank,mla_qk_rope_head_dim,kv_bytes_per_token_bf16,kv_mb_per_1k_tokens_bf16,model_source
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,1.540882432,28.991029248,61.06382336,61.06382336,10.93617664,10.93617664,98304.0,111248,111248,111248,111.24854166666667,True,capacity_opt,Qwen3-30B-A3B,30.53191168,3.3,128.0,8.0,1.540882432,28.991029248,61.06382336,48,gqa,4.0,128.0,,,98304,98.304,Qwen3-30B-A3B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,1.540882432,28.991029248,61.06382336,61.06382336,10.93617664,10.93617664,98304.0,111248,111248,111248,111.24854166666667,True,dp_max,Qwen3-30B-A3B,30.53191168,3.3,128.0,8.0,1.540882432,28.991029248,61.06382336,48,gqa,4.0,128.0,,,98304,98.304,Qwen3-30B-A3B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,32.8,0.0,65.6,65.6,6.400000000000006,6.400000000000006,163840.0,39062,39062,39062,39.062500000000036,True,capacity_opt,Qwen3-32B,32.8,,,,32.8,0.0,65.6,64,gqa,8.0,80.0,,,163840,163.84,Qwen3-32B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,32.8,0.0,65.6,65.6,6.400000000000006,6.400000000000006,163840.0,39062,39062,39062,39.062500000000036,True,dp_max,Qwen3-32B,32.8,,,,32.8,0.0,65.6,64,gqa,8.0,80.0,,,163840,163.84,Qwen3-32B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,70.6,0.0,141.2,141.2,0.0,0.0,327680.0,0,0,0,0.0,False,capacity_opt,Llama-3.3-70B,70.6,,,,70.6,0.0,141.2,80,gqa,8.0,128.0,,,327680,327.68,Meta Llama 3.3 70B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,70.6,0.0,141.2,141.2,0.0,0.0,327680.0,0,0,0,0.0,False,dp_max,Llama-3.3-70B,70.6,,,,70.6,0.0,141.2,80,gqa,8.0,128.0,,,327680,327.68,Meta Llama 3.3 70B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,7.996440576,227.096395776,470.185672704,470.185672704,0.0,0.0,192512.0,0,0,0,0.0,False,capacity_opt,Qwen3-235B-A22B,235.092836352,22.0,128.0,8.0,7.996440576,227.096395776,470.185672704,94,gqa,4.0,128.0,,,192512,192.512,Qwen3-235B-A22B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,7.996440576,227.096395776,470.185672704,470.185672704,0.0,0.0,192512.0,0,0,0,0.0,False,dp_max,Qwen3-235B-A22B,235.092836352,22.0,128.0,8.0,7.996440576,227.096395776,470.185672704,94,gqa,4.0,128.0,,,192512,192.512,Qwen3-235B-A22B public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,7.7116288,347.2883712,710.0,710.0,0.0,0.0,376832.0,0,0,0,0.0,False,capacity_opt,GLM-4.5-355B-A32B,355.0,32.0,128.0,8.0,7.7116288,347.2883712,710.0,92,gqa,8.0,128.0,,,376832,376.832,Z.ai GLM-4.5 public Hugging Face config/model card
A100x1,A100,1,80,80,72.0,NVIDIA A100 80GB public product specifications,1,1,1,TP1/DP1/EP1,1,7.7116288,347.2883712,710.0,710.0,0.0,0.0,376832.0,0,0,0,0.0,False,dp_max,GLM-4.5-355B-A32B,355.0,32.0,128.0,8.0,7.7116288,347.2883712,710.0,92,gqa,8.0,128.0,,,376832,376.832,Z.ai GLM-4.5 public Hugging Face config/model card
