source,scope,stage_id,stage_name,event_count,elapsed_coverage_ratio
AgentRewardBench,assistantbench,S0,setup,132,0.0
AgentRewardBench,assistantbench,S1,goal_interpretation_planning,132,0.0
AgentRewardBench,assistantbench,S2,observation_capture,2639,0.0
AgentRewardBench,assistantbench,S3,context_building,2639,0.0
AgentRewardBench,assistantbench,S4,action_decision,2639,0.0
AgentRewardBench,assistantbench,S5,actuation_browser_gui,2639,0.0
AgentRewardBench,assistantbench,S6,environment_result_wait,2639,0.0
AgentRewardBench,assistantbench,S7,feedback_error_recovery,567,0.0
AgentRewardBench,assistantbench,S8,validation_finalization,132,0.0
AgentRewardBench,visualwebarena,S0,setup,300,0.0
AgentRewardBench,visualwebarena,S1,goal_interpretation_planning,300,0.0
AgentRewardBench,visualwebarena,S2,observation_capture,5674,0.0
AgentRewardBench,visualwebarena,S3,context_building,5674,0.0
AgentRewardBench,visualwebarena,S4,action_decision,5674,0.0
AgentRewardBench,visualwebarena,S5,actuation_browser_gui,5674,0.0
AgentRewardBench,visualwebarena,S6,environment_result_wait,5674,0.0
AgentRewardBench,visualwebarena,S7,feedback_error_recovery,624,0.0
AgentRewardBench,visualwebarena,S8,validation_finalization,300,0.0
AgentRewardBench,webarena,S0,setup,398,0.0
AgentRewardBench,webarena,S1,goal_interpretation_planning,398,0.0
AgentRewardBench,webarena,S2,observation_capture,6322,0.0
AgentRewardBench,webarena,S3,context_building,6322,0.0
AgentRewardBench,webarena,S4,action_decision,6322,0.0
AgentRewardBench,webarena,S5,actuation_browser_gui,6322,0.0
AgentRewardBench,webarena,S6,environment_result_wait,6322,0.0
AgentRewardBench,webarena,S7,feedback_error_recovery,821,0.0
AgentRewardBench,webarena,S8,validation_finalization,398,0.0
AgentRewardBench,workarena,S0,setup,472,0.0
AgentRewardBench,workarena,S1,goal_interpretation_planning,472,0.0
AgentRewardBench,workarena,S2,observation_capture,12664,0.0
AgentRewardBench,workarena,S3,context_building,12664,0.0
AgentRewardBench,workarena,S4,action_decision,12664,0.0
AgentRewardBench,workarena,S5,actuation_browser_gui,12664,0.0
AgentRewardBench,workarena,S6,environment_result_wait,12664,0.0
AgentRewardBench,workarena,S7,feedback_error_recovery,811,0.0
AgentRewardBench,workarena,S8,validation_finalization,472,0.0
OSWorld-Verified,UI-TARS-0717-100step,S0,setup,361,0.0
OSWorld-Verified,UI-TARS-0717-100step,S1,goal_interpretation_planning,361,0.0
OSWorld-Verified,UI-TARS-0717-100step,S2,observation_capture,11130,0.0
OSWorld-Verified,UI-TARS-0717-100step,S3,context_building,11130,0.0
OSWorld-Verified,UI-TARS-0717-100step,S4,action_decision,11130,0.0
OSWorld-Verified,UI-TARS-0717-100step,S5,actuation_desktop_gui,11130,0.0
OSWorld-Verified,UI-TARS-0717-100step,S6,environment_result_wait,11130,0.0
OSWorld-Verified,UI-TARS-0717-100step,S7,feedback_error_recovery,36,0.0
OSWorld-Verified,UI-TARS-0717-100step,S8,validation_finalization,361,0.0
OSWorld-Verified,UI-TARS-0717-15step,S0,setup,361,0.0
OSWorld-Verified,UI-TARS-0717-15step,S1,goal_interpretation_planning,361,0.0
OSWorld-Verified,UI-TARS-0717-15step,S2,observation_capture,4174,0.0
OSWorld-Verified,UI-TARS-0717-15step,S3,context_building,4174,0.0
OSWorld-Verified,UI-TARS-0717-15step,S4,action_decision,4174,0.0
OSWorld-Verified,UI-TARS-0717-15step,S5,actuation_desktop_gui,4174,0.0
OSWorld-Verified,UI-TARS-0717-15step,S6,environment_result_wait,4174,0.0
OSWorld-Verified,UI-TARS-0717-15step,S7,feedback_error_recovery,9,0.0
OSWorld-Verified,UI-TARS-0717-15step,S8,validation_finalization,361,0.0
OSWorld-Verified,autoglm_15steps,S0,setup,361,0.0
OSWorld-Verified,autoglm_15steps,S1,goal_interpretation_planning,361,0.0
OSWorld-Verified,autoglm_15steps,S2,observation_capture,3254,0.0
OSWorld-Verified,autoglm_15steps,S3,context_building,3254,0.0
OSWorld-Verified,autoglm_15steps,S4,action_decision,3254,0.0
OSWorld-Verified,autoglm_15steps,S5,actuation_desktop_gui,3254,0.0
OSWorld-Verified,autoglm_15steps,S6,environment_result_wait,3254,0.0
OSWorld-Verified,autoglm_15steps,S7,feedback_error_recovery,295,0.0
OSWorld-Verified,autoglm_15steps,S8,validation_finalization,361,0.0
OSWorld-Verified,autoglm_50steps,S0,setup,361,0.0
OSWorld-Verified,autoglm_50steps,S1,goal_interpretation_planning,361,0.0
OSWorld-Verified,autoglm_50steps,S2,observation_capture,7033,0.0
OSWorld-Verified,autoglm_50steps,S3,context_building,7033,0.0
OSWorld-Verified,autoglm_50steps,S4,action_decision,7033,0.0
OSWorld-Verified,autoglm_50steps,S5,actuation_desktop_gui,7033,0.0
OSWorld-Verified,autoglm_50steps,S6,environment_result_wait,7033,0.0
OSWorld-Verified,autoglm_50steps,S7,feedback_error_recovery,894,0.0
OSWorld-Verified,autoglm_50steps,S8,validation_finalization,361,0.0
OSWorld-Verified,claude-3-7-sonnet-20250219-100steps,S0,setup,361,0.0
OSWorld-Verified,claude-3-7-sonnet-20250219-100steps,S1,goal_interpretation_planning,361,0.0
