source,stage_id,stage_name,metric,run_stage_count,nonzero_ratio,p50,p95,max
AgentRewardBench,S0,setup,context_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S0,setup,event_count,1302,1.0,1.0,1.0,1.0
AgentRewardBench,S0,setup,llm_total_tokens,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S0,setup,recovery_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S0,setup,runtime_log_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S0,setup,screenshot_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S0,setup,tool_call_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S0,setup,tool_payload_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S1,goal_interpretation_planning,context_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S1,goal_interpretation_planning,event_count,1302,1.0,1.0,1.0,1.0
AgentRewardBench,S1,goal_interpretation_planning,llm_total_tokens,1302,1.0,37.0,217.0,440.0
AgentRewardBench,S1,goal_interpretation_planning,recovery_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S1,goal_interpretation_planning,runtime_log_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S1,goal_interpretation_planning,screenshot_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S1,goal_interpretation_planning,tool_call_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S1,goal_interpretation_planning,tool_payload_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S2,observation_capture,context_bytes,1302,1.0,296386.5,1310524.8000000003,9340769.0
AgentRewardBench,S2,observation_capture,event_count,1302,1.0,31.0,31.0,31.0
AgentRewardBench,S2,observation_capture,llm_total_tokens,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S2,observation_capture,recovery_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S2,observation_capture,runtime_log_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S2,observation_capture,screenshot_bytes,1302,1.0,31.0,31.0,31.0
AgentRewardBench,S2,observation_capture,tool_call_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S2,observation_capture,tool_payload_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S3,context_building,context_bytes,1302,1.0,296386.5,1310524.8000000003,9340769.0
AgentRewardBench,S3,context_building,event_count,1302,1.0,31.0,31.0,31.0
AgentRewardBench,S3,context_building,llm_total_tokens,1302,1.0,135052.5,348093.5,436528.0
AgentRewardBench,S3,context_building,recovery_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S3,context_building,runtime_log_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S3,context_building,screenshot_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S3,context_building,tool_call_count,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S3,context_building,tool_payload_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S4,action_decision,context_bytes,1302,0.0,0.0,0.0,0.0
AgentRewardBench,S4,action_decision,event_count,1302,1.0,31.0,31.0,31.0
AgentRewardBench,S4,action_decision,llm_total_tokens,1302,1.0,138384.0,352738.75000000006,456317.0
AgentRewardBench,S4,action_decision,recovery_count,1302,0.0,0.0,0.0,0.0
